,playerID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,post_W,post_L,post_G,post_GS,post_CG,post_SHO,post_SV,post_IPouts,post_H,post_ER,post_HR,post_BB,post_SO,post_BAOpp,post_ERA,post_IBB,post_WP,post_HBP,post_BK,post_BFP,post_GF,post_R,post_SH,post_SF,post_GIDP,fielding_G,fielding_GS,InnOuts,PO,A,E,DP,PB,fielding_WP,fielding_SB,fielding_CS,ZR,fielding_post_G,fielding_post_GS,post_InnOuts,post_PO,post_A,post_E,post_DP,post_TP,post_PB,fielding_post_SB,fielding_post_CS,inducted,seasons_played
20233,willibo01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,0.0,0.0,189.0,49.0,15.0,1.0,16.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,3.0
20234,willibr01,26.0,38.0,256.0,59.0,2.0,1.0,6.0,1786.0,655.0,355.0,62.0,332.0,397.0,2.799,52.04,20.0,41.0,32.0,5.0,2735.0,67.0,401.0,39.0,25.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,256.0,59.0,1786.0,44.0,88.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,9.0
20235,willibr02,5.0,5.0,27.0,26.0,0.0,0.0,0.0,394.0,121.0,64.0,22.0,44.0,110.0,0.444,8.23,0.0,4.0,4.0,2.0,550.0,0.0,70.0,2.0,2.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,26.0,394.0,6.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2.0
20236,willica01,22.0,16.0,267.0,2.0,0.0,0.0,13.0,1170.0,424.0,184.0,28.0,115.0,222.0,3.4749999999999996,141.84,24.0,20.0,2.0,3.0,1668.0,81.0,210.0,16.0,15.0,44.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,37.0,8.0,4.0,2.0,2.0,5.0,0.368,5.14,1.0,0.0,0.0,0.0,44.0,1.0,4.0,1.0,0.0,3.0,267.0,2.0,1170.0,22.0,41.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.0
20237,willich01,23.0,22.0,268.0,33.0,2.0,0.0,4.0,1720.0,581.0,253.0,38.0,275.0,257.0,2.274,38.78,54.0,24.0,14.0,1.0,2507.0,70.0,287.0,33.0,23.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,268.0,33.0,1718.0,34.0,102.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,8.0
20238,willicy01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1818.0,0.0,0.0,4180.0,226.0,123.0,40.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,19.0
20239,willida01,1.0,8.0,9.0,9.0,9.0,0.0,0.0,249.0,123.0,39.0,1.0,4.0,9.0,0.0,4.23,0.0,5.0,0.0,0.0,367.0,0.0,75.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,249.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
20240,willida02,0.0,0.0,3.0,0.0,0.0,0.0,0.0,56.0,22.0,11.0,0.0,11.0,7.0,0.0,5.3,0.0,2.0,1.0,0.0,87.0,3.0,18.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,57.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
20241,willida03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.0,199.0,5335.0,1019.0,1252.0,52.0,319.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,111.0,10.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,,6.0
20242,willida04,0.0,2.0,25.0,0.0,0.0,0.0,1.0,134.0,46.0,25.0,3.0,25.0,47.0,0.26,5.04,3.0,0.0,4.0,0.0,207.0,6.0,28.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,0.0,134.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
20243,willida05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,7.0,205.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2.0
20244,willida06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
20245,willida07,22.0,31.0,82.0,72.0,1.0,1.0,0.0,1224.0,411.0,219.0,64.0,165.0,245.0,2.13,53.160000000000004,15.0,8.0,28.0,3.0,1778.0,3.0,237.0,19.0,16.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,72.0,1224.0,15.0,82.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,6.0
20246,willide01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,0.0,0.0,157.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,4.0
